"pathway" "pval" "padj" "ES" "NES" "nMoreExtreme" "size" "grp"
"1" "ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X__RELA ENCODE" 4.17330918378419e-06 0.0106220863752309 -0.493580635429174 -2.06274379959973 0 116 "alwof_vs_hpyl"
"2" "GO_Cellular_Component_2018__ficolin-1-rich granule (GO:0101002)" 4.55863313943947e-06 0.0106220863752309 -0.468327708154074 -2.00505130697312 0 136 "alwof_vs_hpyl"
"3" "GO_Cellular_Component_2018__ficolin-1-rich granule lumen (GO:1904813)" 3.91343482174304e-06 0.0106220863752309 -0.485742337091455 -1.98810343177328 0 102 "alwof_vs_hpyl"
"4" "GO_Cellular_Component_2018__focal adhesion (GO:0005925)" 5.49740522473393e-06 0.0106220863752309 -0.430542915679898 -1.91882909385532 0 182 "alwof_vs_hpyl"
"5" "GO_Molecular_Function_2018__cadherin binding (GO:0045296)" 5.07495711661236e-06 0.0106220863752309 -0.500939086265977 -2.19871885524208 0 162 "alwof_vs_hpyl"
"6" "GO_Biological_Process_2018__cellular response to interleukin-12 (GO:0071349)" 1.0630212125883e-05 0.0128373099185194 -0.669979955734009 -2.177211033513 3 32 "alwof_vs_hpyl"
"7" "GO_Biological_Process_2018__interleukin-12-mediated signaling pathway (GO:0035722)" 1.0630212125883e-05 0.0128373099185194 -0.669979955734009 -2.177211033513 3 32 "alwof_vs_hpyl"
"8" "WikiPathways_2019_Human__NRF2 pathway WP2884" 1.04792144780827e-05 0.0128373099185194 -0.681936949484395 -2.1830994480827 3 30 "alwof_vs_hpyl"
"9" "GO_Biological_Process_2018__neutrophil degranulation (GO:0043312)" 3.32369461893841e-05 0.0269280511715396 -0.335695431542865 -1.58048677839001 3 292 "alwof_vs_hpyl"
"10" "GO_Biological_Process_2018__neutrophil mediated immunity (GO:0002446)" 3.32369461893841e-05 0.0269280511715396 -0.335695431542865 -1.58048677839001 3 292 "alwof_vs_hpyl"
"11" "KEGG_2019_Human__Ferroptosis" 3.34475327666366e-05 0.0269280511715396 -0.760107919041515 -2.1433343477691 13 18 "alwof_vs_hpyl"
"12" "WikiPathways_2019_Human__Ferroptosis WP4313" 3.34475327666366e-05 0.0269280511715396 -0.760107919041515 -2.1433343477691 13 18 "alwof_vs_hpyl"
"13" "GO_Biological_Process_2018__neutrophil activation involved in immune response (GO:0002283)" 4.16784755680776e-05 0.030973519420246 -0.334766253883944 -1.57674884237223 4 293 "alwof_vs_hpyl"
"14" "TRRUST_Transcription_Factors_2019__NFE2L2 mouse" 6.56893036699206e-05 0.0453303116253645 -0.772472076992687 -2.11092680300702 27 16 "alwof_vs_hpyl"
