"pathway" "pval" "padj" "ES" "NES" "nMoreExtreme" "size" "grp"
"1" "ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X__RELA ENCODE" 1.28443242215697e-06 0.00212112336766153 0.601501689743842 2.21701270788526 0 116 "hpyl_vs_lps"
"2" "GO_Molecular_Function_2018__cadherin binding (GO:0045296)" 1.22177993788471e-06 0.00212112336766153 0.512222070300396 1.96687126039126 0 162 "hpyl_vs_lps"
"3" "MSigDB_Hallmark_2020__TNF-alpha Signaling via NF-kB" 1.48904583431983e-06 0.00212112336766153 0.801990340067818 2.49351820383786 0 41 "hpyl_vs_lps"
"4" "TRRUST_Transcription_Factors_2019__NFKB1 human" 1.42142975933773e-06 0.00212112336766153 0.687484998987352 2.27847667280103 0 58 "hpyl_vs_lps"
"5" "TRRUST_Transcription_Factors_2019__NFKB1 mouse" 1.53688682058076e-06 0.00212112336766153 0.740776829646451 2.19179375763668 0 32 "hpyl_vs_lps"
"6" "TRRUST_Transcription_Factors_2019__RELA human" 1.4248606842466e-06 0.00212112336766153 0.679641646517358 2.24567021498263 0 57 "hpyl_vs_lps"
"7" "WikiPathways_2019_Human__Nuclear Receptors Meta-Pathway WP2882" 1.39946848187059e-06 0.00212112336766153 0.676907200097975 2.28718004097545 0 65 "hpyl_vs_lps"
"8" "GO_Biological_Process_2018__defense response to bacterium (GO:0042742)" 2.94638463872905e-06 0.0029922862138334 -0.655836102102386 -2.26872927589856 0 36 "hpyl_vs_lps"
"9" "GO_Biological_Process_2018__defense response to Gram-negative bacterium (GO:0050829)" 2.50230211794851e-06 0.0029922862138334 -0.834486029220936 -2.34526185825385 0 16 "hpyl_vs_lps"
"10" "WikiPathways_2019_Human__NRF2 pathway WP2884" 3.09728414639623e-06 0.0029922862138334 0.739708112989185 2.15931153916875 1 30 "hpyl_vs_lps"
"11" "Human_Gene_Atlas__Placenta" 5.90287410940387e-06 0.0051843333428137 0.666011654120713 2.09877238959075 3 44 "hpyl_vs_lps"
"12" "MSigDB_Hallmark_2020__Complement" 1.37634882184541e-05 0.0110807549732071 0.584349778043883 2.01232937143535 9 73 "hpyl_vs_lps"
"13" "GO_Biological_Process_2018__antibacterial humoral response (GO:0019731)" 1.78132062657953e-05 0.0122923846952749 -0.923539448042933 -2.04073251384747 7 7 "hpyl_vs_lps"
"14" "GO_Cellular_Component_2018__focal adhesion (GO:0005925)" 1.68036161381929e-05 0.0122923846952749 0.458161495066721 1.78190247875779 13 182 "hpyl_vs_lps"
"15" "GO_Biological_Process_2018__innate immune response in mucosa (GO:0002227)" 3.28249119198197e-05 0.0176178596698543 -0.938614646771294 -1.97821056790541 14 6 "hpyl_vs_lps"
"16" "GO_Biological_Process_2018__mucosal immune response (GO:0002385)" 3.28249119198197e-05 0.0176178596698543 -0.938614646771294 -1.97821056790541 14 6 "hpyl_vs_lps"
"17" "KEGG_2019_Human__Ferroptosis" 3.12349989807527e-05 0.0176178596698543 0.791577863949596 2.06260199662521 18 18 "hpyl_vs_lps"
"18" "WikiPathways_2019_Human__Ferroptosis WP4313" 3.12349989807527e-05 0.0176178596698543 0.791577863949596 2.06260199662521 18 18 "hpyl_vs_lps"
"19" "TRRUST_Transcription_Factors_2019__SP1 human" 4.0619193748313e-05 0.0206537910948659 0.517513999291131 1.87390560632006 30 102 "hpyl_vs_lps"
"20" "ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X__STAT3 CHEA" 5.04812796113535e-05 0.0243849821162643 0.643945079403624 2.01116294743491 33 42 "hpyl_vs_lps"
"21" "ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X__NFE2L2 CHEA" 6.02559189389174e-05 0.0264605651304037 0.449378033529953 1.74256111034424 49 177 "hpyl_vs_lps"
"22" "TRRUST_Transcription_Factors_2019__NFE2L2 mouse" 5.82966064712564e-05 0.0264605651304037 0.801209941705459 2.03020049801919 34 16 "hpyl_vs_lps"
"23" "GO_Biological_Process_2018__defense response to Gram-positive bacterium (GO:0050830)" 7.64580794686163e-05 0.0321157176411436 -0.811229611828917 -2.10335046682662 31 12 "hpyl_vs_lps"
"24" "MSigDB_Hallmark_2020__Inflammatory Response" 8.65716707117406e-05 0.0348487046144219 0.665753150635509 2.00633053844823 56 35 "hpyl_vs_lps"
"25" "TRRUST_Transcription_Factors_2019__RELA mouse" 9.9652197494319e-05 0.0385095951997046 0.765747950187988 2.02091623591454 60 19 "hpyl_vs_lps"
"26" "MSigDB_Hallmark_2020__mTORC1 Signaling" 0.000108783348895396 0.0404213820645545 0.49444786363694 1.80941117488272 83 110 "hpyl_vs_lps"
"27" "TRRUST_Transcription_Factors_2019__JUN human" 0.000116594372903468 0.0417191939489038 0.705313637331583 1.99703894427885 73 26 "hpyl_vs_lps"
"28" "GO_Biological_Process_2018__cellular response to type I interferon (GO:0071357)" 0.000130328890385258 0.0434174968969646 -0.653196758802096 -2.06721974997222 47 25 "hpyl_vs_lps"
"29" "GO_Biological_Process_2018__type I interferon signaling pathway (GO:0060337)" 0.000130328890385258 0.0434174968969646 -0.653196758802096 -2.06721974997222 47 25 "hpyl_vs_lps"
"30" "GO_Biological_Process_2018__antimicrobial humoral immune response mediated by antimicrobial peptide (GO:0061844)" 0.000140264664912552 0.0451698975906722 -0.780920381911568 -2.07128984401818 57 13 "hpyl_vs_lps"
"31" "KEGG_2019_Human__Cytokine-cytokine receptor interaction" 0.000147128369502391 0.0458518444439548 0.858720421267541 1.93855321919895 83 10 "hpyl_vs_lps"
